hz,magnitude
0,1
20,1.84928
40,1.09922
60,1.01034
80,1.32378
100,3.55731
120,3.5401
140,1.32215
160,1.01013
180,1.09993
200,1.85339
220,701.874
240,1.8452
260,1.0985
280,1.01055
300,1.32542
320,3.5747
340,3.52305
360,1.32053
380,1.00993
400,1.10065
420,1.85753
440,350.937
460,1.84113
480,1.09779
500,1.01076
520,1.32707
540,3.59227
560,3.50618
580,1.31891
600,1.00973
620,1.10137
640,1.86168
660,233.958
680,1.83709
700,1.09709
720,1.01097
740,1.32872
760,3.61002
780,3.48948
800,1.31729
820,1.00953
840,1.1021
860,1.86586
880,175.469
900,1.83306
920,1.09638
940,1.01119
960,1.33038
980,3.62796
1000,3.47294
1020,1.31569
1040,1.00933
1060,1.10283
1080,1.87005
1100,140.376
1120,1.82906
1140,1.09568
1160,1.0114
1180,1.33205
1200,3.64608
1220,3.45656
1240,1.31409
1260,1.00913
1280,1.10356
1300,1.87428
1320,116.98
1340,1.82508
1360,1.09498
1380,1.01162
1400,1.33372
1420,3.66438
1440,3.44035
1460,1.3125
1480,1.00894
1500,1.1043
1520,1.87852
1540,100.269
1560,1.82112
1580,1.09429
1600,1.01184
1620,1.3354
1640,3.68289
1660,3.42429
1680,1.31091
1700,1.00875
1720,1.10504
1740,1.88279
1760,87.7361
1780,1.81718
1800,1.0936
1820,1.01207
1840,1.33709
1860,3.70158
1880,3.40839
1900,1.30933
1920,1.00856
1940,1.10578
1960,1.88708
1980,77.9881
2000,1.81326
2020,1.09291
2040,1.01229
2060,1.33878
2080,3.72048
2100,3.39265
2120,1.30776
2140,1.00837
2160,1.10652
2180,1.89139
2200,70.1897
2220,1.80937
2240,1.09222
2260,1.01252
2280,1.34049
2300,3.73958
2320,3.37705
2340,1.30619
2360,1.00819
2380,1.10727
2400,1.89573
2420,63.8093
2440,1.80549
2460,1.09154
2480,1.01275
2500,1.34219
2520,3.75888
2540,3.36161
2560,1.30463
2580,1.008
2600,1.10802
2620,1.90009
2640,58.4923
2660,1.80163
2680,1.09086
2700,1.01298
2720,1.34391
2740,3.77839
2760,3.34631
2780,1.30307
2800,1.00782
2820,1.10878
2840,1.90448
2860,53.9933
