hz,magnitude
0,32602
20,60580.8
40,36010
60,33098.3
80,43366.1
100,116537
120,115970
140,43313.5
160,33091.4
180,36033
200,60717
220,2.29927e+07
240,60448.5
260,35986.2
280,33105
300,43420.6
320,117104
340,115415
360,43259.3
380,33084.8
400,36057
420,60850.8
440,1.14967e+07
460,60313.7
480,35963.4
500,33112
520,43473.7
540,117683
560,114859
580,43207.1
600,33078.1
620,36080.2
640,60988.5
660,7.66425e+06
680,60182.8
700,35939.8
720,33118.9
740,43528.7
760,118261
780,114315
800,43153.5
820,33071.7
840,36104.5
860,61123.7
880,5.74837e+06
900,60049.5
920,35917.1
940,33126.1
960,43582.2
980,118852
1000,113770
1020,43101.7
1040,33065
1060,36127.9
1080,61262.9
1100,4.59857e+06
1120,59919.9
1140,35893.7
1160,33133
1180,43637.7
1200,119442
1220,113237
1240,43048.4
1260,33058.8
1280,36152.3
1300,61399.6
1320,3.83227e+06
1340,59788
1360,35871.3
1380,33140.4
1400,43691.6
1420,120045
1440,112702
1460,42997.1
1480,33052.3
1500,36176
1520,61540.2
1540,3.28472e+06
1560,59659.8
1580,35848.2
1600,33147.5
1620,43747.6
1640,120648
1660,112180
1680,42944.3
1700,33046.1
1720,36200.6
1740,61678.4
1760,2.87423e+06
1780,59529.2
1800,35826
1820,33154.9
1840,43802
1860,121264
1880,111656
1900,42893.4
1920,33039.8
1940,36224.5
1960,61820.6
1980,2.55481e+06
2000,59402.4
2020,35803
2040,33162.2
2060,43858.4
2080,121879
2100,111143
2120,42841
2140,33033.8
2160,36249.4
2180,61960.3
2200,2.29941e+06
2220,59273.2
2240,35781
2260,33169.8
2280,43913.2
2300,122508
2320,110629
2340,42790.5
2360,33027.6
2380,36273.4
2400,62104.1
2420,2.09033e+06
2440,59147.7
2460,35758.2
2480,33177.2
2500,43970.1
2520,123137
2540,110126
2560,42738.5
2580,33021.7
2600,36298.5
2620,62245.3
2640,1.91621e+06
2660,59019.9
2680,35736.4
2700,33185
2720,44025.4
2740,123780
2760,109622
2780,42688.5
2800,33015.7
2820,36322.8
2840,62390.6
2860,1.76877e+06
2880,58895.7
2900,35713.8
2920,33192.5
2940,44082.7
2960,124422
2980,109129
3000,42636.9
3020,33009.9
3040,36348.1
3060,62533.5
3080,1.64249e+06
3100,58769.1
3120,35692.2
3140,33200.4
3160,44138.5
3180,125079
3200,108634
3220,42587.2
3240,33004
3260,36372.5
3280,62680.4
3300,1.53296e+06
3320,58646.2
3340,35669.8
3360,33208
3380,44196.3
3400,125736
3420,108150
3440,42536.1
3460,32998.4
3480,36398.1
3500,62824.8
3520,1.43721e+06
3540,58521
3560,35648.4
3580,33216.1
3600,44252.5
3620,126407
3640,107664
3660,42486.8
3680,32992.6
3700,36422.8
3720,62973.3
3740,1.35264e+06
3760,58399.4
3780,35626.2
3800,33223.9
3820,44310.8
3840,127078
3860,107189
3880,42436.1
3900,32987.2
3920,36448.5
3940,63119.4
3960,1.27755e+06
3980,58275.4
4000,35605
4020,33232.1
4040,44367.5
4060,127764
4080,106713
4100,42387.3
4120,32981.5
4140,36473.4
4160,63269.6
4180,1.21029e+06
4200,58155.1
4220,35583
4240,33240
4260,44426.3
4280,128450
4300,106246
4320,42337
4340,32976.2
4360,36499.4
4380,63417.3
4400,1.14982e+06
4420,58032.4
4440,35562
4460,33248.4
4480,44483.5
4500,129152
