hz,magnitude
0,4.5991e-14
20,7.14692e-14
40,1.19826e-13
60,6.17859e-14
80,1.68834e-13
100,1.47876e-13
120,1.86652e-13
140,3.39746e-13
160,3.60408e-13
180,1.33007e-13
200,8.64666e-13
220,1102.5
240,7.13446e-13
260,2.93392e-13
280,2.3707e-13
300,5.41154e-13
320,2.01573e-13
340,5.34549e-14
360,2.07793e-13
380,3.19962e-13
400,1.96993e-13
420,1.11052e-13
440,3.56772e-13
460,2.05681e-13
480,4.74074e-13
500,1.20886e-13
520,1.76831e-13
540,9.5299e-14
560,1.42552e-13
580,1.61351e-13
600,1.33469e-13
620,8.85618e-14
640,1.07774e-13
660,6.81638e-14
680,1.91007e-12
700,2.60146e-13
720,2.14056e-14
740,3.85212e-14
760,3.49576e-14
780,7.9308e-14
800,1.45334e-14
820,1.07595e-13
840,2.09476e-13
860,1.59429e-13
880,5.88066e-14
900,1.10036e-12
920,1.04835e-13
940,7.65024e-14
960,2.4412e-13
980,1.82023e-13
1000,3.38383e-13
1020,1.45915e-12
1040,3.67916e-13
1060,2.43898e-13
1080,2.75634e-13
1100,2.14715e-14
1120,7.70332e-14
1140,1.56312e-12
1160,1.0197e-13
1180,9.3379e-14
1200,1.26733e-13
1220,1.28887e-13
1240,6.68296e-14
1260,2.23473e-13
1280,2.71167e-13
1300,2.35524e-13
1320,8.30323e-14
1340,2.39518e-13
1360,2.69727e-13
1380,1.23453e-13
1400,1.618e-13
1420,7.90915e-13
1440,1.87038e-13
1460,1.02323e-13
1480,2.55748e-13
1500,1.19919e-13
1520,1.5947e-13
1540,1.77922e-13
1560,3.93805e-13
1580,6.8938e-13
1600,1.85271e-13
1620,2.26091e-13
1640,1.11168e-12
1660,6.93578e-13
1680,9.00809e-14
1700,1.90384e-13
1720,1.08367e-13
1740,1.61417e-13
1760,1.9952e-13
1780,2.74863e-13
1800,2.2254e-12
1820,5.58224e-13
1840,2.4598e-13
1860,8.80864e-13
1880,6.20541e-13
1900,1.34926e-13
1920,6.12488e-13
1940,3.63707e-13
1960,2.06663e-13
1980,4.4831e-13
2000,3.37485e-13
2020,9.5812e-14
2040,3.15017e-13
2060,2.00737e-13
2080,2.11222e-13
2100,3.56752e-13
2120,4.18586e-13
2140,2.76155e-13
2160,5.95622e-14
2180,8.34907e-14
2200,7.01324e-13
2220,1.71706e-13
2240,9.94232e-13
2260,5.04635e-13
2280,5.88968e-13
2300,4.98914e-13
2320,2.16303e-13
2340,6.53229e-14
2360,6.585e-13
2380,1.64301e-13
2400,1.09561e-13
2420,1.62946e-13
2440,2.69198e-13
2460,3.19734e-13
2480,1.49309e-13
2500,9.80891e-13
2520,2.35965e-13
2540,2.21838e-13
2560,2.35513e-13
2580,8.45712e-13
2600,1.4416e-13
2620,1.32837e-13
2640,1.35252e-12
2660,2.12504e-13
2680,1.11065e-12
2700,6.19828e-13
2720,1.96497e-12
2740,3.64783e-12
2760,1.49275e-13
2780,8.03835e-13
2800,7.19645e-13
2820,1.97721e-13
2840,3.16624e-13
2860,1.88064e-13
2880,6.77856e-13
2900,4.07014e-13
2920,4.81221e-13
2940,5.12177e-13
2960,6.1913e-13
2980,1.46702e-13
3000,1.57137e-13
3020,2.43825e-13
3040,3.6725e-14
3060,2.28946e-13
3080,2.24324e-13
3100,2.12825e-13
3120,2.04807e-13
3140,3.69853e-13
3160,5.18367e-13
3180,6.34574e-13
3200,5.60405e-13
3220,1.00175e-12
3240,5.37064e-13
3260,5.69864e-13
3280,6.05437e-13
3300,9.27991e-13
3320,1.7124e-12
3340,5.48476e-13
3360,4.33922e-13
3380,5.73926e-13
3400,1.03186e-12
3420,5.98908e-13
3440,8.78557e-13
3460,3.05714e-12
3480,4.44985e-13
3500,1.23081e-13
3520,2.21385e-13
3540,2.61143e-13
3560,2.03192e-12
3580,2.59723e-13
3600,1.36431e-12
3620,1.74452e-12
3640,1.26468e-12
3660,9.4512e-13
3680,6.7233e-13
3700,2.52109e-13
3720,1.39836e-12
3740,1.00611e-12
3760,1.22268e-12
3780,4.7358e-13
3800,6.77253e-13
3820,4.65818e-13
3840,4.762e-13
3860,3.59953e-12
3880,4.64331e-13
3900,7.17713e-13
3920,1.46998e-12
3940,2.07585e-13
3960,2.36531e-13
3980,5.10667e-13
4000,1.27558e-13
4020,9.87239e-13
4040,6.09007e-13
4060,7.49115e-13
4080,9.74262e-13
4100,7.55582e-13
4120,6.21048e-14
4140,6.50329e-13
4160,2.02069e-12
4180,1.62e-12
4200,5.49851e-13
4220,4.51307e-13
4240,3.51435e-13
4260,9.36331e-13
4280,4.92941e-13
4300,1.25979e-13
4320,5.40111e-13
4340,8.24296e-12
4360,8.05744e-13
4380,7.5257e-13
4400,4.2412e-13
4420,7.89622e-13
4440,3.04952e-12
4460,5.69545e-13
4480,1.75977e-13
4500,1.65247e-12
4520,1.4983e-12
4540,2.43885e-13
4560,8.84832e-13
4580,1.8993e-13
4600,4.17379e-13
4620,8.46075e-13
4640,2.37678e-12
4660,1.02908e-12
4680,1.02959e-12
4700,1.80488e-12
4720,1.43231e-12
4740,8.0666e-13
4760,3.55885e-13
4780,7.449e-13
4800,4.32971e-13
4820,5.59124e-13
4840,2.9339e-13
4860,1.63921e-12
4880,3.65716e-13
4900,8.00628e-12
4920,1.28782e-13
4940,1.06954e-12
4960,9.60156e-13
4980,1.15524e-12
5000,1.49499e-13
5020,9.29446e-13
5040,9.86481e-13
5060,1.0104e-13
