hz,magnitude
0,1
20,3.54868
40,1.1888
60,1.32297
80,2.4086
100,1.01024
120,7.00774
140,1.09957
160,1.52613
180,1.85134
200,1.04202
220,1403.75
240,1.04246
260,1.84724
280,1.52864
300,1.09886
320,7.07769
340,1.01044
360,2.4011
380,1.3246
400,1.18771
420,3.56599
440,1
460,3.53155
480,1.18989
500,1.32134
520,2.41614
540,1.01003
560,6.93917
580,1.10029
600,1.52363
620,1.85546
640,1.04159
660,467.916
680,1.04289
700,1.84316
720,1.53117
740,1.09815
760,7.14906
780,1.01065
800,2.39366
820,1.32625
840,1.18663
860,3.58346
880,1
900,3.5146
920,1.19099
940,1.31972
960,2.42374
980,1.00983
1000,6.87194
1020,1.10101
1040,1.52114
1060,1.8596
1080,1.04115
1100,280.75
1120,1.04334
1140,1.83911
1160,1.5337
1180,1.09744
1200,7.22191
1220,1.01087
1240,2.38627
1260,1.3279
1280,1.18555
1300,3.60112
1320,1.00001
1340,3.49781
1360,1.19209
1380,1.3181
1400,2.43139
1420,1.00963
1440,6.80602
1460,1.10174
1480,1.51866
1500,1.86376
1520,1.04073
1540,200.536
1560,1.04378
1580,1.83507
1600,1.53625
1620,1.09673
1640,7.29626
1660,1.01108
1680,2.37893
1700,1.32955
1720,1.18448
1740,3.61897
1760,1.00002
1780,3.48119
1800,1.19319
1820,1.31649
1840,2.4391
1860,1.00943
1880,6.74137
1900,1.10246
1920,1.51619
1940,1.86795
1960,1.0403
1980,155.973
2000,1.04422
2020,1.83106
2040,1.53881
2060,1.09603
2080,7.37219
2100,1.0113
2120,2.37164
2140,1.33121
2160,1.18341
2180,3.63699
2200,1.00003
2220,3.46473
2240,1.1943
2260,1.31489
2280,2.44685
2300,1.00923
2320,6.67795
2340,1.10319
2360,1.51374
2380,1.87216
2400,1.03988
2420,127.615
2440,1.04467
2460,1.82707
2480,1.54138
2500,1.09533
2520,7.44972
2540,1.01151
2560,2.3644
2580,1.33288
2600,1.18235
2620,3.65521
2640,1.00004
2660,3.44844
2680,1.19541
2700,1.31329
2720,2.45467
2740,1.00904
2760,6.61572
2780,1.10393
2800,1.51129
2820,1.8764
2840,1.03945
2860,107.982
2880,1.04512
2900,1.8231
2920,1.54396
2940,1.09464
2960,7.52891
2980,1.01173
3000,2.3572
3020,1.33456
3040,1.18129
3060,3.67361
3080,1.00005
3100,3.4323
3120,1.19653
3140,1.3117
3160,2.46253
3180,1.00884
3200,6.55465
3220,1.10467
3240,1.50886
3260,1.88065
3280,1.03904
3300,93.5849
3320,1.04558
3340,1.81915
3360,1.54655
3380,1.09394
3400,7.60983
3420,1.01196
3440,2.35006
3460,1.33625
3480,1.18023
3500,3.69221
3520,1.00006
3540,3.41632
3560,1.19765
3580,1.31012
3600,2.47046
3620,1.00865
3640,6.49471
3660,1.10541
3680,1.50643
3700,1.88493
3720,1.03862
3740,82.5753
3760,1.04603
3780,1.81522
3800,1.54916
3820,1.09325
3840,7.69252
3860,1.01218
3880,2.34296
3900,1.33794
3920,1.17918
3940,3.71101
3960,1.00008
3980,3.4005
4000,1.19878
4020,1.30854
4040,2.47844
4060,1.00846
4080,6.43588
4100,1.10615
4120,1.50402
4140,1.88923
4160,1.03821
4180,73.8837
4200,1.04649
4220,1.81131
4240,1.55178
4260,1.09257
4280,7.77704
4300,1.01241
4320,2.33591
4340,1.33963
4360,1.17813
4380,3.73
4400,1.0001
4420,3.38483
4440,1.19991
4460,1.30697
4480,2.48647
4500,1.00828
4520,6.37811
4540,1.1069
4560,1.50162
4580,1.89356
4600,1.03779
4620,66.8476
4640,1.04695
4660,1.80743
4680,1.5544
4700,1.09188
4720,7.86345
4740,1.01264
4760,2.32891
4780,1.34134
4800,1.17709
4820,3.7492
4840,1.00012
4860,3.36931
4880,1.20105
4900,1.30541
4920,2.49457
4940,1.00809
4960,6.32138
4980,1.10765
5000,1.49923
5020,1.89791
5040,1.03738
5060,61.0352
5080,1.04742
5100,1.80356
5120,1.55705
5140,1.0912
5160,7.95183
5180,1.01287
5200,2.32195
5220,1.34305
5240,1.17605
5260,3.76861
5280,1.00015
5300,3.35394
5320,1.20219
5340,1.30385
5360,2.50272
5380,1.00791
5400,6.26567
5420,1.1084
5440,1.49685
5460,1.90228
5480,1.03698
5500,56.1528
5520,1.04788
5540,1.79971
5560,1.5597
5580,1.09053
5600,8.04222
5620,1.0131
5640,2.31504
5660,1.34477
5680,1.17501
5700,3.78822
5720,1.00017
5740,3.33871
5760,1.20333
5780,1.3023
5800,2.51093
5820,1.00773
5840,6.21094
5860,1.10916
5880,1.49448
5900,1.90668
5920,1.03657
5940,51.9938
5960,1.04835
5980,1.79589
6000,1.56237
6020,1.08985
6040,8.13472
6060,1.01334
6080,2.30818
6100,1.3465
6120,1.17398
6140,3.80805
6160,1.0002
6180,3.32363
6200,1.20448
6220,1.30075
6240,2.5192
6260,1.00755
6280,6.15717
6300,1.10992
6320,1.49212
6340,1.9111
6360,1.03617
6380,48.4085
6400,1.04882
6420,1.79208
6440,1.56504
6460,1.08918
6480,8.22938
6500,1.01357
6520,2.30136
6540,1.34823
6560,1.17296
6580,3.82809
6600,1.00023
6620,3.30869
6640,1.20564
6660,1.29922
6680,2.52753
6700,1.00738
6720,6.10434
6740,1.11068
6760,1.48977
6780,1.91555
6800,1.03577
6820,45.2858
6840,1.0493
6860,1.78829
6880,1.56773
6900,1.08851
6920,8.32629
6940,1.01381
6960,2.29459
6980,1.34997
7000,1.17193
7020,3.84836
7040,1.00026
7060,3.2939
7080,1.2068
7100,1.29768
7120,2.53592
7140,1.0072
7160,6.05242
7180,1.11145
7200,1.48743
7220,1.92002
7240,1.03538
7260,42.5417
7280,1.04977
7300,1.78452
7320,1.57044
7340,1.08785
7360,8.42553
7380,1.01406
7400,2.28786
7420,1.35172
7440,1.17092
7460,3.86885
7480,1.00029
7500,3.27924
7520,1.20796
7540,1.29616
7560,2.54437
7580,1.00703
7600,6.00138
7620,1.11222
7640,1.4851
7660,1.92452
7680,1.03498
7700,40.1112
7720,1.05025
7740,1.78078
7760,1.57315
7780,1.08718
7800,8.52718
7820,1.0143
7840,2.28117
7860,1.35347
7880,1.1699
7900,3.88956
7920,1.00033
7940,3.26471
7960,1.20913
7980,1.29464
8000,2.55288
8020,1.00686
8040,5.95121
8060,1.11299
8080,1.48278
8100,1.92904
8120,1.03459
8140,37.9435
8160,1.05073
8180,1.77705
8200,1.57588
8220,1.08652
8240,8.63133
8260,1.01455
8280,2.27453
8300,1.35524
8320,1.16889
8340,3.91051
8360,1.00037
8380,3.25032
8400,1.2103
8420,1.29312
8440,2.56145
8460,1.0067
8480,5.90189
8500,1.11377
8520,1.48047
8540,1.93359
8560,1.0342
8580,35.9981
8600,1.05122
8620,1.77334
8640,1.57862
8660,1.08587
8680,8.73807
8700,1.0148
8720,2.26793
8740,1.35701
8760,1.16789
8780,3.93169
8800,1.00041
8820,3.23607
8840,1.21148
8860,1.29162
8880,2.57009
8900,1.00653
8920,5.85339
8940,1.11455
8960,1.47818
8980,1.93816
9000,1.03381
9020,34.2426
9040,1.05171
9060,1.76965
9080,1.58138
9100,1.08522
9120,8.8475
9140,1.01505
9160,2.26138
9180,1.35878
9200,1.16688
9220,3.95311
9240,1.00045
9260,3.22194
9280,1.21266
9300,1.29012
9320,2.57879
9340,1.00637
9360,5.80569
9380,1.11533
9400,1.47589
9420,1.94276
9440,1.03343
9460,32.6504
9480,1.0522
9500,1.76597
9520,1.58414
9540,1.08456
9560,8.95973
9580,1.0153
9600,2.25486
9620,1.36057
9640,1.16589
9660,3.97477
9680,1.00049
9700,3.20795
9720,1.21385
9740,1.28862
9760,2.58756
9780,1.00621
9800,5.75877
9820,1.11612
9840,1.47361
9860,1.94738
9880,1.03304
9900,31.1997
9920,1.05269
9940,1.76232
9960,1.58692
9980,1.08392
10000,9.07486
10020,1.01555
10040,2.24839
10060,1.36236
10080,1.16489
10100,3.99668
10120,1.00054
10140,3.19408
10160,1.21504
10180,1.28713
10200,2.59639
10220,1.00605
10240,5.71262
10260,1.1169
10280,1.47134
10300,1.95203
10320,1.03266
10340,29.8725
10360,1.05318
10380,1.75869
10400,1.58972
10420,1.08327
10440,9.19301
10460,1.01581
10480,2.24196
10500,1.36416
10520,1.1639
10540,4.01884
10560,1.00058
10580,3.18034
10600,1.21624
10620,1.28565
10640,2.60529
10660,1.00589
10680,5.66721
10700,1.1177
10720,1.46909
10740,1.9567
10760,1.03228
10780,28.6537
10800,1.05368
10820,1.75507
10840,1.59252
10860,1.08263
10880,9.31429
10900,1.01607
10920,2.23557
10940,1.36597
10960,1.16292
10980,4.04126
11000,1.00063
11020,3.16672
11040,1.21744
11060,1.28417
11080,2.61425
11100,1.00574
11120,5.62253
11140,1.1185
11160,1.46684
11180,1.96141
11200,1.03191
11220,27.5305
11240,1.05418
11260,1.75147
11280,1.59534
11300,1.08199
11320,9.43883
11340,1.01633
11360,2.22922
11380,1.36778
11400,1.16194
11420,4.06393
11440,1.00069
11460,3.15322
11480,1.21865
11500,1.2827
11520,2.62328
11540,1.00558
11560,5.57856
11580,1.1193
11600,1.4646
11620,1.96613
11640,1.03154
11660,26.4921
11680,1.05468
11700,1.7479
11720,1.59817
11740,1.08136
11760,9.56677
11780,1.0166
11800,2.22291
11820,1.3696
11840,1.16096
11860,4.08687
11880,1.00074
11900,3.13985
11920,1.21986
11940,1.28123
11960,2.63238
11980,1.00543
12000,5.53528
12020,1.1201
12040,1.46237
12060,1.97089
12080,1.03117
12100,25.5292
12120,1.05519
12140,1.74433
12160,1.60102
12180,1.08073
12200,9.69825
12220,1.01686
12240,2.21665
12260,1.37143
12280,1.15998
12300,4.11008
12320,1.0008
12340,3.12659
12360,1.22108
12380,1.27978
12400,2.64155
12420,1.00528
12440,5.49268
12460,1.12091
12480,1.46016
12500,1.97567
12520,1.0308
12540,24.6339
12560,1.05569
12580,1.74079
12600,1.60388
12620,1.0801
12640,9.83341
12660,1.01713
12680,2.21042
12700,1.37327
12720,1.15901
12740,4.13357
12760,1.00085
12780,3.11346
12800,1.2223
12820,1.27832
12840,2.65078
12860,1.00514
12880,5.45074
12900,1.12172
12920,1.45795
12940,1.98048
12960,1.03043
12980,23.7993
13000,1.0562
13020,1.73727
13040,1.60675
13060,1.07947
13080,9.97241
13100,1.0174
13120,2.20423
13140,1.37512
13160,1.15805
13180,4.15733
13200,1.00091
13220,3.10043
13240,1.22353
13260,1.27687
13280,2.66009
13300,1.00499
13320,5.40945
13340,1.12253
13360,1.45575
13380,1.98532
13400,1.03007
13420,23.0195
13440,1.05672
13460,1.73376
13480,1.60963
13500,1.07885
13520,10.1154
13540,1.01767
13560,2.19808
13580,1.37697
