hz,magnitude
0,32760
20,116255
40,38945.1
60,43340.4
80,78905.7
100,33095.3
120,229573
140,36022
160,49996
180,60649.8
200,34136.5
220,4.59867e+07
240,34150.8
260,60515.5
280,50078.3
300,35998.6
320,231865
340,33102.1
360,78660.2
380,43394
400,38909.5
420,116822
440,32760
460,115694
480,38980.9
500,43287
520,79152.8
540,33088.6
560,227327
580,36045.5
600,49914.1
620,60784.8
640,34122.3
660,1.53289e+07
680,34165.2
700,60381.9
720,50161
740,35975.3
760,234203
780,33109
800,78416.4
820,43447.8
840,38874.1
860,117394
880,32760.1
900,115138
920,39016.8
940,43233.9
960,79401.8
980,33082
1000,225125
1020,36069.2
1040,49832.5
1060,60920.5
1080,34108.2
1100,9.19737e+06
1120,34179.7
1140,60249.1
1160,50244.1
1180,35952.1
1200,236590
1220,33115.9
1240,78174.2
1260,43501.8
1280,38838.8
1300,117973
1320,32760.3
1340,114588
1360,39052.8
1380,43180.9
1400,79652.4
1420,33075.4
1440,222965
1460,36092.9
1480,49751.3
1500,61056.9
1520,34094.2
1540,6.56956e+06
1560,34194.2
1580,60117
1600,50327.5
1620,35929
1640,239026
1660,33123
1680,77933.7
1700,43556.1
1720,38803.6
1740,118557
1760,32760.5
1780,114044
1800,39089
1820,43128.2
1840,79904.8
1860,33068.8
1880,220847
1900,36116.7
1920,49670.5
1940,61194.1
1960,34080.2
1980,5.10967e+06
2000,34208.8
2020,59985.5
2040,50411.3
2060,35906
2080,241513
2100,33130
2120,77694.9
2140,43610.6
2160,38768.6
2180,119148
2200,32760.8
2220,113505
2240,39125.3
2260,43075.7
2280,80158.9
2300,33062.4
2320,218770
2340,36140.7
2360,49590
2380,61332.1
2400,34066.3
2420,4.18066e+06
2440,34223.5
2460,59854.8
2480,50495.5
2500,35883.1
2520,244053
2540,33137.2
2560,77457.6
2580,43665.3
2600,38733.7
2620,119745
2640,32761.2
2660,112971
2680,39161.8
2700,43023.4
2720,80414.9
2740,33056
2760,216731
2780,36164.7
2800,49509.9
2820,61470.7
2840,34052.5
2860,3.53749e+06
2880,34238.3
2900,59724.7
2920,50580.1
2940,35860.3
2960,246647
2980,33144.4
3000,77222
3020,43720.2
3040,38698.9
3060,120348
3080,32761.6
3100,112442
3120,39198.4
3140,42971.3
3160,80672.6
3180,33049.7
3200,214730
3220,36188.8
3240,49430.1
3260,61610.2
3280,34038.8
3300,3.06584e+06
3320,34253.1
3340,59595.3
3360,50665
3380,35837.6
3400,249298
3420,33151.7
3440,76987.9
3460,43775.4
3480,38664.3
3500,120957
3520,32762.1
3540,111919
3560,39235.2
3580,42919.5
3600,80932.2
3620,33043.5
3640,212767
3660,36213.1
3680,49350.8
3700,61750.4
3720,34025.2
3740,2.70517e+06
3760,34268.1
3780,59466.7
3800,50750.4
3820,35815
3840,252007
3860,33159.1
3880,76755.4
3900,43830.8
3920,38629.9
3940,121573
3960,32762.7
3980,111400
4000,39272.1
4020,42867.8
4040,81193.6
4060,33037.3
4080,210839
4100,36237.5
4120,49271.7
4140,61891.3
4160,34011.6
4180,2.42043e+06
4200,34283.1
4220,59338.6
4240,50836.2
4260,35792.5
4280,254776
4300,33166.5
4320,76524.5
4340,43886.4
4360,38595.6
4380,122195
4400,32763.3
4420,110887
4440,39309.1
4460,42816.4
4480,81456.9
4500,33031.2
4520,208947
4540,36261.9
4560,49193
4580,62033
4600,33998.1
4620,2.18993e+06
4640,34298.2
4660,59211.3
4680,50922.3
4700,35770.1
4720,257607
4740,33174
4760,76295.1
4780,43942.3
4800,38561.4
4820,122824
4840,32764
4860,110379
4880,39346.4
4900,42765.1
4920,81722
4940,33025.2
4960,207088
4980,36286.5
5000,49114.7
5020,62175.5
5040,33984.7
5060,1.99951e+06
5080,34313.4
5100,59084.6
5120,51008.8
5140,35747.8
5160,260502
5180,33181.6
5200,76067.2
5220,43998.4
5240,38527.3
5260,123460
5280,32764.8
5300,109875
5320,39383.7
5340,42714.1
5360,81989.1
5380,33019.2
5400,205263
5420,36311.2
5440,49036.7
5460,62318.8
5480,33971.4
5500,1.83957e+06
5520,34328.7
5540,58958.6
5560,51095.8
5580,35725.6
5600,263463
5620,33189.2
5640,75840.8
5660,44054.7
5680,38493.4
5700,124102
5720,32765.6
5740,109376
5760,39421.2
5780,42663.3
5800,82258
5820,33013.3
5840,203470
5860,36336
5880,48959.1
5900,62462.9
5920,33958.1
5940,1.70332e+06
5960,34344
5980,58833.2
6000,51183.1
6020,35703.5
6040,266493
6060,33196.9
6080,75616
6100,44111.2
6120,38459.7
6140,124752
6160,32766.5
6180,108882
6200,39458.9
6220,42612.7
6240,82528.9
6260,33007.5
6280,201709
6300,36360.9
6320,48881.8
6340,62607.8
6360,33945
6380,1.58586e+06
6400,34359.5
6420,58708.5
6440,51270.8
6460,35681.5
6480,269595
6500,33204.7
6520,75392.6
6540,44168
6560,38426
6580,125408
6600,32767.5
6620,108393
6640,39496.7
6660,42562.3
6680,82801.8
6700,33001.7
6720,199978
6740,36385.9
6760,48804.8
6780,62753.5
6800,33931.9
6820,1.48356e+06
6840,34375
6860,58584.4
6880,51359
6900,35659.6
6920,272769
6940,33212.6
6960,75170.7
6980,44225
7000,38392.5
7020,126072
7040,32768.5
7060,107908
7080,39534.7
7100,42512.1
7120,83076.6
7140,32996
7160,198277
7180,36411
7200,48728.2
7220,62899.9
7240,33918.9
7260,1.39367e+06
7280,34390.6
7300,58461
7320,51447.5
7340,35637.8
7360,276020
7380,33220.5
7400,74950.2
7420,44282.3
7440,38359.2
7460,126743
7480,32769.6
7500,107428
7520,39572.8
7540,42462.1
7560,83353.5
7580,32990.4
7600,196605
7620,36436.2
7640,48651.9
7660,63047.2
7680,33906
7700,1.31404e+06
7720,34406.3
7740,58338.2
7760,51536.5
7780,35616.1
7800,279350
7820,33228.5
7840,74731.2
7860,44339.8
7880,38326
7900,127422
7920,32770.8
7940,106952
7960,39611.1
7980,42412.3
8000,83632.3
8020,32984.9
8040,194962
8060,36461.5
8080,48576
8100,63195.4
8120,33893.1
8140,1.24303e+06
8160,34422.1
8180,58216.1
8200,51625.9
8220,35594.5
8240,282762
8260,33236.6
8280,74513.6
8300,44397.5
8320,38292.9
8340,128108
8360,32772
8380,106481
8400,39649.6
8420,42362.7
8440,83913.2
8460,32979.4
8480,193346
8500,36487
8520,48500.4
8540,63344.3
8560,33880.3
8580,1.1793e+06
8600,34437.9
8620,58094.5
8640,51715.7
8660,35573.1
8680,286259
8700,33244.7
8720,74297.4
8740,44455.5
8760,38259.9
8780,128802
8800,32773.3
8820,106014
8840,39688.1
8860,42313.4
8880,84196.2
8900,32974
8920,191757
8940,36512.5
8960,48425.1
8980,63494.1
9000,33867.6
9020,1.12179e+06
9040,34453.9
9060,57973.6
9080,51805.9
9100,35551.7
9120,289844
9140,33252.9
9160,74082.6
9180,44513.7
9200,38227.1
9220,129504
9240,32774.7
9260,105551
9280,39726.9
9300,42264.2
9320,84481.3
9340,32968.6
9360,190194
9380,36538.2
9400,48350.1
9420,63644.7
9440,33855
9460,1.06963e+06
9480,34469.9
9500,57853.3
9520,51896.5
9540,35530.3
9560,293521
9580,33261.2
9600,73869.3
9620,44572.2
9640,38194.4
9660,130214
9680,32776.1
9700,105092
9720,39765.8
9740,42215.2
9760,84768.4
9780,32963.3
9800,188657
9820,36563.9
9840,48275.5
9860,63796.1
9880,33842.5
9900,1.0221e+06
9920,34486
9940,57733.7
9960,51987.6
9980,35509.1
10000,297292
10020,33269.6
10040,73657.2
10060,44630.9
10080,38161.9
10100,130931
10120,32777.6
10140,104638
10160,39804.9
10180,42166.4
10200,85057.7
10220,32958.1
10240,187145
10260,36589.8
10280,48201.3
10300,63948.5
10320,33830
10340,978624
10360,34502.2
10380,57614.6
10400,52079.1
